event_key,event_name,event_type,event_location,event_location_size,event_begin_date,event_end_date,city
100,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/15/2016,1/15/2016,Vancouver
101,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/17/2016,1/17/2016,Vancouver
102,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/19/2016,1/19/2016,Vancouver
103,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/21/2016,1/21/2016,Vancouver
104,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/23/2016,1/23/2016,Vancouver
105,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/26/2016,1/26/2016,Vancouver
106,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/4/2016,2/4/2016,Vancouver
107,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/6/2016,2/6/2016,Vancouver
108,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/9/2016,2/9/2016,Vancouver
109,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/10/2016,2/10/2016,Vancouver
110,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/13/2016,2/13/2016,Vancouver
111,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/15/2016,2/15/2016,Vancouver
112,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/18/2016,2/18/2016,Vancouver
113,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/19/2016,2/19/2016,Vancouver
114,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/21/2016,2/21/2016,Vancouver
115,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/25/2016,2/25/2016,Vancouver
116,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/28/2016,2/28/2016,Vancouver
117,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/1/2016,3/1/2016,Vancouver
118,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/3/2016,3/3/2016,Vancouver
119,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/5/2016,3/5/2016,Vancouver
120,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/7/2016,3/7/2016,Vancouver
121,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/9/2016,3/9/2016,Vancouver
122,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/12/2016,3/12/2016,Vancouver
123,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/14/2016,3/14/2016,Vancouver
124,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/16/2016,3/16/2016,Vancouver
125,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/18/2016,3/18/2016,Vancouver
126,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/19/2016,3/19/2016,Vancouver
127,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/22/2016,3/22/2016,Vancouver
128,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/24/2016,3/24/2016,Vancouver
